,"GyrRef","GyrX","GyrY","AccX","AccY","AccZ","AngleX","AngleY","Lfoot/FSR/FrontLeft","Lfoot/FSR/FrontRight","Lfoot/FSR/RearLeft","Lfoot/FSR/RearRight","Rfoot/FSR/FrontLeft","Rfoot/FSR/FrontRight","Rfoot/FSR/RearLeft","Rfoot/FSR/RearRight",
49.03,-1664,-2114,-1998,-54,-1,-2,0.01,-1.51,2657,1930,2951,3273,3024,2781,2363,3281,0.3
50.04,-1664,-2114,-1998,-54,0,-4,0.01,-1.51,2659,1936,2952,3275,3020,2786,2358,3281,0.3
51.04,-1664,-2113,-1998,-54,-1,0,0,-1.51,2654,1928,2957,3275,3033,2786,2358,3281,0.3
52.04,-1664,-2114,-1998,-54,0,-4,0.01,-1.51,2643,1934,2950,3278,3026,2784,2350,3280,0.3
53.03,-1664,-2114,-1998,-55,0,-2,0.01,-1.51,2639,1944,2954,3275,3032,2775,2353,3280,0.3
54.04,-1664,-2115,-1998,-54,-1,-5,0.01,-1.5,2645,1936,2951,3277,3031,2751,2350,3280,0.3
55.03,-1664,-2114,-1999,-55,0,-3,0.01,-1.5,2633,1935,2950,3276,3036,2763,2356,3281,0.3
56.02,-1664,-2113,-1999,-55,0,-2,0.01,-1.5,2635,1925,2954,3275,3032,2741,2355,3283,0.3
57.04,-1663,-2113,-1999,-55,0,-2,0.01,-1.51,2634,1919,2949,3276,3025,2750,2356,3282,0.3
58.04,-1664,-2114,-1998,-55,-1,-3,0.01,-1.52,2636,1917,2949,3277,3022,2733,2352,3283,0.3
59.04,-1664,-2114,-1998,-54,0,-4,0.01,-1.52,2622,1919,2946,3274,3021,2732,2353,3282,0.3
60.04,-1664,-2114,-1999,-54,0,-5,0,-1.51,2619,1918,2948,3275,3023,2742,2360,3279,0.3
61.04,-1664,-2114,-1998,-54,0,-2,0.01,-1.51,2615,1942,2946,3276,3021,2746,2351,3278,0.3
62.04,-1664,-2114,-1998,-55,0,-4,0.01,-1.51,2630,1949,2942,3277,3025,2729,2357,3281,0.3
63.04,-1664,-2116,-1999,-55,-1,-3,0.01,-1.51,2638,1939,2939,3276,3034,2725,2360,3280,0.3
64.04,-1664,-2114,-1999,-55,-1,-6,0.01,-1.51,2634,1943,2936,3275,3041,2734,2361,3278,0.3
65.04,-1664,-2114,-1999,-55,-1,-3,0.01,-1.51,2641,1949,2937,3276,3041,2721,2358,3281,0.3
66.03,-1664,-2114,-1998,-55,-1,-4,0.01,-1.51,2628,1955,2938,3276,3041,2725,2359,3282,0.3
67.04,-1664,-2115,-2000,-55,-1,-2,0.01,-1.5,2621,1954,2942,3278,3051,2738,2354,3281,0.3
68.04,-1664,-2115,-2000,-54,-1,-2,0.01,-1.5,2613,1953,2942,3277,3045,2742,2355,3281,0.3
69.04,-1664,-2114,-2000,-55,-1,-2,0.01,-1.52,2617,1951,2943,3275,3039,2738,2358,3279,0.3
70.04,-1664,-2114,-2000,-55,-1,-3,0.01,-1.51,2611,1942,2942,3275,3038,2735,2361,3283,0.3
71.02,-1664,-2114,-1998,-54,-1,-3,0.02,-1.51,2611,1948,2941,3275,3036,2730,2361,3281,0.3
72.02,-1663,-2114,-1998,-55,0,-3,0.01,-1.51,2620,1936,2939,3278,3038,2742,2357,3283,0.3
73.02,-1664,-2114,-1999,-55,-1,-2,0.01,-1.52,2629,1943,2945,3276,3039,2743,2352,3281,0.3
74.02,-1664,-2114,-1999,-54,-1,-3,0.01,-1.52,2615,1940,2943,3276,3045,2721,2351,3282,0.3
75.02,-1664,-2114,-1999,-55,-1,-3,0.01,-1.5,2606,1938,2939,3276,3052,2717,2350,3284,0.3
76.02,-1664,-2114,-1999,-54,-1,-3,0.01,-1.52,2597,1940,2938,3276,3045,2732,2352,3281,0.3
77.02,-1664,-2115,-2000,-55,-1,-3,0.01,-1.52,2594,1937,2945,3276,3046,2734,2351,3281,0.3
78.02,-1664,-2114,-1998,-55,0,-3,0.01,-1.5,2601,1939,2943,3276,3040,2723,2359,3281,0.3
79.02,-1664,-2115,-1998,-55,-1,-3,0.01,-1.51,2618,1937,2942,3278,3041,2736,2353,3280,0.3
80.02,-1664,-2114,-1999,-54,-1,-4,0.01,-1.51,2618,1939,2940,3276,3032,2697,2354,3281,0.3
81.02,-1664,-2114,-1999,-54,0,-1,0.01,-1.51,2621,1935,2937,3275,3044,2683,2356,3281,0.3
82.02,-1664,-2114,-2000,-54,-1,-4,0.01,-1.5,2618,1932,2936,3277,3029,2706,2361,3281,0.3
83.03,-1664,-2114,-1999,-55,-1,-2,0.01,-1.52,2617,1931,2935,3276,3035,2707,2358,3280,0.3
84.02,-1664,-2114,-1999,-55,0,-3,0.01,-1.51,2603,1932,2937,3276,3038,2706,2353,3282,0.3
,,,,,,,,,,,,,,,,,
,-1663.94,-2114.09,-1998.01,-54.71,-0.61,-2.96,0.01,-1.51,2636.75,1948.84,2971.22,3274.67,3035.22,2792.64,2364.91,3281.02,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.29
