0.02,-1674,-2333,-2080,50,0,0,0.01,1.55,3138,3144,2515,2216,3170,3180,2139,1307,0.34
1.02,-1674,-2333,-2080,50,0,0,0.01,1.56,3135,3154,2488,2212,3171,3187,2122,1299,0.34
2.02,-1674,-2333,-2080,50,-1,-2,0,1.57,3148,3146,2483,2213,3172,3186,2121,1295,0.34
3.02,-1674,-2333,-2080,50,0,0,0,1.57,3138,3145,2492,2197,3167,3185,2116,1291,0.34
4.02,-1674,-2333,-2080,50,0,0,0,1.56,3137,3144,2438,2180,3171,3185,2113,1290,0.34
5.02,-1673,-2333,-2080,50,0,0,0,1.56,3137,3153,2421,2184,3172,3185,2099,1288,0.34
6.02,-1674,-2333,-2080,50,-1,0,0,1.56,3148,3156,2411,2152,3166,3187,2095,1290,0.34
7.02,-1674,-2332,-2080,49,0,0,0,1.56,3138,3154,2419,2162,3170,3185,2087,1288,0.34
8.02,-1674,-2333,-2080,50,0,1,0,1.57,3137,3144,2425,2168,3169,3180,2086,1284,0.34
9.02,-1674,-2333,-2080,50,0,0,0,1.56,3140,3156,2411,2152,3176,3185,2074,1275,0.34
10.02,-1673,-2333,-2080,50,0,0,0,1.56,3142,3156,2409,2151,3173,3183,2079,1278,0.34
11.02,-1674,-2333,-2080,50,0,0,0,1.57,3148,3143,2412,2144,3171,3180,2079,1278,0.34
12.02,-1673,-2333,-2080,50,0,0,0,1.56,3150,3145,2407,2137,3172,3185,2075,1274,0.34
13.02,-1674,-2333,-2080,50,0,-1,0,1.56,3136,3145,2410,2138,3173,3185,2073,1275,0.34
14.02,-1674,-2334,-2081,49,0,0,0,1.56,3148,3145,2407,2126,3172,3185,2069,1264,0.34
15.02,-1673,-2334,-2080,50,0,0,0,1.57,3146,3144,2402,2123,3171,3187,2069,1269,0.34
16.02,-1673,-2333,-2081,50,0,-1,0,1.56,3148,3144,2399,2122,3171,3185,2073,1269,0.34
17.02,-1674,-2334,-2080,49,0,1,0,1.56,3138,3144,2401,2133,3170,3184,2073,1271,0.34
18.02,-1674,-2333,-2080,50,0,0,0.01,1.55,3138,3149,2387,2147,3169,3187,2048,1251,0.34
19.02,-1674,-2333,-2080,50,0,0,0,1.57,3147,3156,2383,2136,3170,3183,2058,1248,0.34
20.02,-1673,-2333,-2080,50,0,0,0,1.56,3151,3144,2387,2122,3170,3186,2077,1259,0.34
21.02,-1674,-2334,-2080,50,0,0,0.01,1.56,3143,3155,2377,2162,3169,3179,2126,1287,0.34
22.01,-1673,-2333,-2080,49,-1,0,0,1.57,3137,3145,2382,2162,3173,3184,2142,1301,0.34
23.02,-1674,-2333,-2081,50,0,0,0,1.56,3137,3154,2372,2135,3170,3181,2118,1293,0.34
24.02,-1673,-2333,-2080,50,0,-1,0.01,1.56,3147,3143,2366,2147,3171,3184,2105,1286,0.34
25.02,-1673,-2334,-2081,50,0,-1,0,1.56,3140,3144,2365,2150,3172,3185,2119,1292,0.34
26.02,-1673,-2334,-2081,50,0,0,0,1.56,3137,3148,2345,2174,3167,3187,2118,1294,0.34
27.02,-1674,-2334,-2080,50,0,0,0,1.56,3143,3155,2330,2156,3172,3184,2121,1295,0.34
28.02,-1673,-2334,-2081,49,0,-1,0,1.57,3137,3143,2341,2148,3167,3186,2120,1291,0.34
29.02,-1673,-2334,-2080,50,0,0,0,1.56,3138,3145,2340,2135,3171,3187,2083,1276,0.34
30.02,-1674,-2333,-2080,49,0,-1,0,1.57,3138,3155,2328,2122,3171,3185,2087,1282,0.34
31.02,-1673,-2334,-2080,50,-1,0,0,1.56,3138,3154,2326,2144,3172,3180,2115,1295,0.34
32.02,-1674,-2333,-2080,50,0,0,0,1.56,3138,3155,2322,2167,3171,3184,2095,1277,0.34
33.02,-1673,-2334,-2080,50,0,0,0,1.57,3148,3146,2325,2169,3170,3186,2055,1241,0.35
34.02,-1673,-2334,-2080,50,0,0,0,1.56,3136,3143,2244,2143,3172,3178,2120,1228,0.34
35.02,-1673,-2333,-2081,50,0,0,0,1.56,3142,3156,2231,2164,3172,3184,2145,1241,0.34
36.02,-1673,-2334,-2081,50,0,0,0,1.56,3150,3144,2241,2141,3170,3179,2274,1296,0.34
37.02,-1674,-2335,-2081,50,0,0,0,1.56,3138,3143,2242,2130,3165,3186,2262,1324,0.34
38.02,-1674,-2335,-2081,50,0,0,0,1.57,3136,3144,2240,2119,3171,3187,2250,1321,0.34
39.02,-1674,-2334,-2081,50,0,0,0,1.56,3138,3155,2233,2102,3170,3184,2189,1293,0.34
40.02,-1674,-2334,-2080,50,0,0,0,1.56,3145,3146,2234,2092,3165,3186,2152,1279,0.34
41.02,-1673,-2335,-2081,50,0,0,0,1.57,3148,3147,2239,2089,3171,3186,2135,1279,0.34
42.02,-1673,-2335,-2081,50,0,-1,0,1.56,3150,3144,2237,2079,3171,3183,2131,1279,0.34
