51 - ( 0.25 , 0.75 , 90.0 ) - [ 13.7819230556 , 15.224312067 , 19.5443410873 ]
52 - ( 0.25 , 0.75 , 135.0 ) - [ 15.2236549854 , 14.7544059753 , 20.5039129257 ]
53 - ( 0.25 , 0.75 , 180.0 ) - [ 16.2108669281 , 15.7026472092 , 21.4642729759 ]
54 - ( 0.25 , 0.75 , 225.0 ) - [ 17.1440091133 , 16.6647582054 , 20.0269420147 ]
55 - ( 0.25 , 0.75 , 270.0 ) - [ 18.1108021736 , 17.6319739819 , 19.0773990154 ]
56 - ( 0.25 , 0.75 , 315.0 ) - [ 16.6631901264 , 18.1046209335 , 18.1014759541 ]
57 - ( 0.25 , 1.0 , 0.0 ) - [ 18.5820879936 , 20.0226430893 , 20.9959728718 ]
58 - ( 0.25 , 1.0 , 45.0 ) - [ 17.6387319565 , 19.0627589226 , 22.4312679768 ]
59 - ( 0.25 , 1.0 , 90.0 ) - [ 16.6801760197 , 18.1037788391 , 23.4008870125 ]
60 - ( 0.25 , 1.0 , 135.0 ) - [ 17.1651389599 , 17.623513937 , 24.3427259922 ]
61 - ( 0.25 , 1.0 , 180.0 ) - [ 18.1225931644 , 18.5830159187 , 25.3024299145 ]
62 - ( 0.25 , 1.0 , 225.0 ) - [ 19.0619571209 , 19.5444638729 , 23.8809168339 ]
63 - ( 0.25 , 1.0 , 270.0 ) - [ 20.0236308575 , 20.5119409561 , 22.9039180279 ]
64 - ( 0.25 , 1.0 , 315.0 ) - [ 19.5412380695 , 20.9835989475 , 21.9435260296 ]
65 - ( 0.5 , 0.25 , 0.0 ) - [ 15.7119581699 , 17.6288640499 , 15.226402998 ]
66 - ( 0.5 , 0.25 , 45.0 ) - [ 14.74497509 , 18.1048219204 , 14.2689349651 ]
67 - ( 0.5 , 0.25 , 90.0 ) - [ 13.7813329697 , 17.1515581608 , 15.7026698589 ]
68 - ( 0.5 , 0.25 , 135.0 ) - [ 12.8317680359 , 16.1820790768 , 16.6617341042 ]
69 - ( 0.5 , 0.25 , 180.0 ) - [ 14.2614679337 , 15.224476099 , 17.6230039597 ]
70 - ( 0.5 , 0.25 , 225.0 ) - [ 15.2213220596 , 14.7447431087 , 18.5846059322 ]
71 - ( 0.5 , 0.25 , 270.0 ) - [ 16.1892709732 , 15.7031919956 , 17.1472918987 ]
72 - ( 0.5 , 0.25 , 315.0 ) - [ 17.1416409016 , 16.6635940075 , 16.1821360588 ]
73 - ( 0.5 , 0.5 , 0.0 ) - [ 17.6256201267 , 19.5421369076 , 17.1442739964 ]
74 - ( 0.5 , 0.5 , 45.0 ) - [ 16.6608769894 , 18.1050930023 , 15.7030670643 ]
75 - ( 0.5 , 0.5 , 90.0 ) - [ 15.7019970417 , 17.1446759701 , 17.6443219185 ]
76 - ( 0.5 , 0.5 , 135.0 ) - [ 13.7829670906 , 16.1846849918 , 18.5836369991 ]
77 - ( 0.5 , 0.5 , 180.0 ) - [ 15.2567958832 , 14.7581670284 , 19.544080019 ]
78 - ( 0.5 , 0.5 , 225.0 ) - [ 16.2165269852 , 16.6629481316 , 20.0239861012 ]
79 - ( 0.5 , 0.5 , 270.0 ) - [ 17.1424911022 , 17.6388418674 , 19.0757009983 ]
80 - ( 0.5 , 0.5 , 315.0 ) - [ 18.5825798512 , 18.5845010281 , 18.1057648659 ]
81 - ( 0.5 , 0.75 , 0.0 ) - [ 19.542648077 , 19.0744390488 , 20.9931468964 ]
82 - ( 0.5 , 0.75 , 45.0 ) - [ 18.5866880417 , 18.10612607 , 20.5010659695 ]
83 - ( 0.5 , 0.75 , 90.0 ) - [ 17.627477169 , 17.1567239761 , 21.4830980301 ]
84 - ( 0.5 , 0.75 , 135.0 ) - [ 16.20378685 , 16.1840791702 , 22.4485878944 ]
85 - ( 0.5 , 0.75 , 180.0 ) - [ 17.1613268852 , 16.6788899899 , 23.3840100765 ]
86 - ( 0.5 , 0.75 , 225.0 ) - [ 18.1225180626 , 17.6314079762 , 23.8652830124 ]
87 - ( 0.5 , 0.75 , 270.0 ) - [ 19.0633101463 , 18.5836489201 , 22.902545929 ]
88 - ( 0.5 , 0.75 , 315.0 ) - [ 20.51760602 , 19.542083025 , 21.9420418739 ]
89 - ( 0.5 , 1.0 , 0.0 ) - [ 21.468159914 , 20.9918549061 , 23.861479044 ]
90 - ( 0.5 , 1.0 , 45.0 ) - [ 20.5023081303 , 20.0220849514 , 23.3847920895 ]
91 - ( 0.5 , 1.0 , 90.0 ) - [ 19.5406880379 , 19.0777277946 , 24.3745260239 ]
92 - ( 0.5 , 1.0 , 135.0 ) - [ 18.1211907864 , 18.1043360233 , 25.3190691471 ]
93 - ( 0.5 , 1.0 , 180.0 ) - [ 19.0839140415 , 19.5436820984 , 26.2618858814 ]
94 - ( 0.5 , 1.0 , 225.0 ) - [ 20.0463290215 , 20.5149371624 , 26.7452979088 ]
95 - ( 0.5 , 1.0 , 270.0 ) - [ 20.9841029644 , 21.4652688503 , 25.7948708534 ]
96 - ( 0.5 , 1.0 , 315.0 ) - [ 22.4232950211 , 22.4225418568 , 24.8327250481 ]
97 - ( 0.75 , 0.25 , 0.0 ) - [ 19.5496549606 , 20.50279212 , 20.9835851192 ]
